id,titulo,autor,editorial,precio,stock,imagen,descripcion,created_at,updated_at,categoria,idioma,formato,cantidad_ventas,descuento
15,Don Quijote de la Mancha,Miguel de Cervantes,Francisco de Robles,21.99,10,https://covers.openlibrary.org/b/isbn/9780060934347-L.jpg,La clásica novela del ingenioso hidalgo y su escudero.,2023-10-15 12:00:00,2023-10-15 12:00:00,romance,frances,digital,45,5
16,Los hermanos Karamázov,Fiódor Dostoyevski,The Russian Messenger,24.75,2,https://covers.openlibrary.org/b/isbn/9780374528379-L.jpg,Una profunda exploración de la fe y la moralidad.,2023-10-16 12:00:00,2023-10-16 12:00:00,misterio,portugues,físico,48,10
17,Ulises,James Joyce,Shakespeare and Company,23.5,4,https://covers.openlibrary.org/b/isbn/9780199535675-L.jpg,Una narración innovadora y compleja de un día en Dublín.,2023-10-17 12:00:00,2023-10-17 12:00:00,terror,español,digital,51,15
18,Los miserables,Victor Hugo,"A. Lacroix, Verboeckhoven & Cie.",20.0,7,https://covers.openlibrary.org/b/isbn/9780451419439-L.jpg,La historia de Jean Valjean y la redención en la Francia del siglo XIX.,2023-10-18 12:00:00,2023-10-18 12:00:00,ciencia ficcion,ingles,físico,54,20
19,La Divina Comedia,Dante Alighieri,Johann Numeister y Evangelista de Aphton,16.25,3,https://covers.openlibrary.org/b/isbn/9780142437223-L.jpg,"El viaje alegórico por el Infierno, Purgatorio y Paraíso.",2023-10-19 12:00:00,2023-10-19 12:00:00,romance,frances,digital,57,25
20,Cien años de soledad,Gabriel García Márquez,Harper & Row,18.0,8,https://covers.openlibrary.org/b/isbn/9780060883287-L.jpg,La saga de la familia Buendía en el mítico pueblo de Macondo.,2023-10-20 12:00:00,2023-10-20 12:00:00,misterio,portugues,físico,60,30
21,Los juegos del hambre,Suzanne Collins,Scholastic,15.99,12,https://covers.openlibrary.org/b/isbn/9780439023528-L.jpg,"En un futuro distópico, Katniss Everdeen lucha por sobrevivir en los Juegos del Hambre.",2023-11-12 11:00:00,2023-11-12 11:00:00,terror,español,digital,63,0
22,Cien años de soledad,Gabriel García Márquez,Editorial Sudamericana,17.8,15,https://covers.openlibrary.org/b/isbn/9780307474728-L.jpg,La famosa novela de realismo mágico que cuenta la historia de la familia Buendía.,2023-11-14 12:00:00,2023-11-14 12:00:00,ciencia ficcion,ingles,físico,66,5
23,1984,George Orwell,Secker & Warburg,14.5,20,https://covers.openlibrary.org/b/isbn/9780451524935-L.jpg,Una obra maestra sobre la vigilancia totalitaria y la manipulación de la verdad.,2023-11-15 16:30:00,2023-11-15 16:30:00,romance,frances,digital,69,10
24,Matar a un ruiseñor,Harper Lee,J.B. Lippincott & Co.,18.6,10,https://covers.openlibrary.org/b/isbn/9780060935467-L.jpg,Una reflexión sobre el racismo y la justicia en el sur de Estados Unidos.,2023-11-16 13:00:00,2023-11-16 13:00:00,misterio,portugues,físico,72,15
25,El señor de los anillos: La comunidad del anillo,J.R.R. Tolkien,Allen & Unwin,22.9,18,https://covers.openlibrary.org/b/isbn/9780618574940-L.jpg,Frodo Bolsón y sus amigos comienzan una peligrosa misión para destruir el Anillo Único.,2023-11-17 10:00:00,2023-11-17 10:00:00,terror,español,digital,75,20
26,Orgullo y prejuicio,Jane Austen,T. Egerton,12.4,25,https://covers.openlibrary.org/b/isbn/9780141439518-L.jpg,Una crítica social y una historia de amor entre Elizabeth Bennet y Mr. Darcy.,2023-11-18 12:15:00,2023-11-18 12:15:00,ciencia ficcion,ingles,físico,78,25
27,La sombra del viento,Carlos Ruiz Zafón,Planeta,21.3,14,https://proassetspdlcom.cdnstatics2.com/usuaris/libros/thumbs/cb9143ec-a50c-4b68-8110-6b5d6dc551ca/d_360_620/portada___201609051317.webp,Un joven encuentra un libro en un misterioso cementerio de libros olvidados.,2023-11-19 09:00:00,2023-11-19 09:00:00,romance,frances,digital,81,30
28,Don Quijote de la Mancha,Miguel de Cervantes,Francisco de Robles,13.0,30,https://covers.openlibrary.org/b/isbn/9780060934347-L.jpg,La historia de un caballero y su fiel escudero en una serie de aventuras.,2023-11-20 13:45:00,2023-11-20 13:45:00,misterio,portugues,físico,84,0
29,El código Da Vinci,Dan Brown,Doubleday,19.95,13,https://covers.openlibrary.org/b/isbn/9780307474278-L.jpg,"Un thriller que combina arte, historia y misterio en una búsqueda secreta.",2023-11-21 15:00:00,2023-11-21 15:00:00,terror,español,digital,87,5
30,La casa de los espíritus,Isabel Allende,Editorial Plaza & Janés,20.0,8,https://http2.mlstatic.com/D_NQ_NP_693363-MLA77072453101_062024-O.webp,Una novela épica que narra la historia de varias generaciones de una familia chilena.,2023-11-22 11:30:00,2023-11-22 11:30:00,ciencia ficcion,ingles,físico,90,10
31,El Hobbit,J.R.R. Tolkien,George Allen & Unwin,18.9,17,https://covers.openlibrary.org/b/isbn/9780261102217-L.jpg,Bilbo Bolsón inicia una aventura épica con un grupo de enanos para recuperar un tesoro.,2023-11-23 09:00:00,2023-11-23 09:00:00,romance,frances,digital,93,15
32,Harry Potter y la piedra filosofal,J.K. Rowling,Bloomsbury,19.99,25,https://covers.openlibrary.org/b/isbn/9780747532699-L.jpg,Harry Potter inicia su viaje en el mundo mágico al ingresar a la escuela Hogwarts.,2023-11-24 10:30:00,2023-11-24 10:30:00,misterio,portugues,físico,96,20
33,La guerra de los mundos,H.G. Wells,William Heinemann,14.4,13,https://covers.openlibrary.org/b/isbn/9780451530776-L.jpg,"Una invasión alienígena amenaza a la humanidad, desatando la lucha por la supervivencia.",2023-11-25 12:00:00,2023-11-25 12:00:00,terror,español,digital,99,25
34,Dune,Frank Herbert,Chilton Books,23.5,16,https://covers.openlibrary.org/b/isbn/9780441013593-L.jpg,La saga de ciencia ficción que narra la lucha por el control del planeta desértico Arrakis.,2023-11-26 14:00:00,2023-11-26 14:00:00,ciencia ficcion,ingles,físico,2,30
35,El nombre del viento,Patrick Rothfuss,DAW Books,20.9,22,https://covers.openlibrary.org/b/isbn/9780756404741-L.jpg,"Kvothe, un joven prodigio, cuenta la historia de su vida llena de magia y aventuras.",2023-11-27 11:30:00,2023-11-27 11:30:00,romance,frances,digital,5,0
36,El ciclo de la puerta de la muerte,Margaret Weis & Tracy Hickman,Doubleday,17.0,18,https://proassetspdlcom.cdnstatics2.com/usuaris/libros/thumbs/7e184b6d-6bd4-4b5c-878b-d7df0578aab5/d_360_620/portada___202402161152.webp,Una serie épica de fantasía en la que se exploran mundos paralelos y fuerzas mágicas.,2023-11-28 10:45:00,2023-11-28 10:45:00,misterio,portugues,físico,8,5
37,"Las crónicas de Narnia: El león, la bruja y el ropero",C.S. Lewis,Geoffrey Bles,16.0,20,https://images.cdn1.buscalibre.com/fit-in/360x360/3e/d1/3ed17c865085a0e86f93037e16d20257.jpg,Cuatro hermanos encuentran un mundo mágico a través de un ropero y luchan contra una malvada bruja.,2023-11-29 09:30:00,2023-11-29 09:30:00,terror,español,digital,11,10
38,La chica del tren,Paula Hawkins,Riverhead Books,18.8,14,https://covers.openlibrary.org/b/isbn/9781594633669-L.jpg,Un thriller psicológico que sigue a una mujer cuya vida se cruza con un misterioso crimen.,2023-11-30 12:45:00,2023-11-30 12:45:00,ciencia ficcion,ingles,físico,14,15
39,La carretera,Cormac McCarthy,Alfred A. Knopf,14.3,19,https://covers.openlibrary.org/b/isbn/9780307387134-L.jpg,Una devastadora novela post-apocalíptica sobre un padre y su hijo luchando por sobrevivir.,2023-12-01 13:00:00,2023-12-01 13:00:00,romance,frances,digital,17,20
40,Juego de tronos,George R.R. Martin,Bantam Books,24.5,18,https://covers.openlibrary.org/b/isbn/9780553103540-L.jpg,"Intriga, traición y luchas de poder en el mundo de Westeros.",2023-12-02 10:00:00,2023-12-02 10:00:00,misterio,portugues,físico,20,25
41,El retrato de Dorian Gray,Oscar Wilde,"Ward, Lock & Co.",15.0,22,https://lavenamisteriosa.com/wp-content/uploads/2019/11/portada-de-el-retrato-de-dorian-gray-1.jpg,"Un joven que no envejece, pero su retrato refleja el deterioro de su alma.",2023-12-03 11:30:00,2023-12-03 11:30:00,terror,español,digital,23,30
42,Drácula,Bram Stoker,Archibald Constable,16.5,20,https://covers.openlibrary.org/b/isbn/9780141439846-L.jpg,La historia de la lucha contra el conde vampiro Drácula en Transilvania.,2023-12-04 14:00:00,2023-12-04 14:00:00,ciencia ficcion,ingles,físico,26,0
43,El psicoanalista,John Katzenbach,Bantam Books,17.0,21,https://images.cdn1.buscalibre.com/fit-in/360x360/0e/eb/0eebbbd43e870b09fdacf443e16d25b3.jpg,Un thriller psicológico donde un psicoanalista se enfrenta a un misterioso asesino.,2023-12-05 13:30:00,2023-12-05 13:30:00,romance,frances,digital,29,5
44,Los hombres que no amaban a las mujeres,Stieg Larsson,Norstedts Förlag,18.4,25,https://covers.openlibrary.org/b/isbn/9780307454546-L.jpg,"El primer libro de la saga Millenium, un thriller de misterio y corrupción.",2023-12-06 10:15:00,2023-12-06 10:15:00,misterio,portugues,físico,32,10
45,La princesa prometida,William Goldman,Harcourt Brace Jovanovich,16.2,14,https://covers.openlibrary.org/b/isbn/9780156032780-L.jpg,"Una historia épica de amor, aventuras y venganza.",2023-12-07 09:30:00,2023-12-07 09:30:00,terror,español,digital,35,15
46,El silencio de los corderos,Thomas Harris,St. Martin's Press,18.9,13,https://images.cdn3.buscalibre.com/fit-in/360x360/46/6b/466b61298129d120cc99189338a50c18.jpg,La historia de un joven agente del FBI que busca la ayuda de un asesino en serie para atrapar a otro.,2023-12-08 10:45:00,2023-12-08 10:45:00,ciencia ficcion,ingles,físico,38,20
